class,filename,path,year,month,day,hour,split
negative,2010101918.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2010101918.h5,2010,10,19,18,train
negative,2010102000.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2010102000.h5,2010,10,20,0,train
negative,2010102012.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2010102012.h5,2010,10,20,12,train
negative,2010102918.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2010102918.h5,2010,10,29,18,train
negative,2010103106.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2010103106.h5,2010,10,31,6,train
negative,2011010203.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011010203.h5,2011,1,2,3,train
negative,2011010209.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011010209.h5,2011,1,2,9,train
negative,2011010218.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011010218.h5,2011,1,2,18,train
negative,2011010221.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011010221.h5,2011,1,2,21,train
negative,2011010300.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011010300.h5,2011,1,3,0,train
negative,2011010303.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011010303.h5,2011,1,3,3,train
negative,2011010321.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011010321.h5,2011,1,3,21,train
negative,2011010403.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011010403.h5,2011,1,4,3,train
negative,2011011721.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011011721.h5,2011,1,17,21,train
negative,2011011821.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011011821.h5,2011,1,18,21,train
negative,2011011906.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011011906.h5,2011,1,19,6,train
negative,2011011909.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011011909.h5,2011,1,19,9,train
negative,2011011918.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011011918.h5,2011,1,19,18,train
negative,2011021103.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011021103.h5,2011,2,11,3,train
negative,2011022521.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011022521.h5,2011,2,25,21,train
negative,2011022609.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011022609.h5,2011,2,26,9,train
negative,2011050100.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011050100.h5,2011,5,1,0,train
negative,2011050115.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011050115.h5,2011,5,1,15,train
negative,2011050215.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011050215.h5,2011,5,2,15,train
negative,2011050221.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011050221.h5,2011,5,2,21,train
negative,2011050303.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011050303.h5,2011,5,3,3,train
negative,2011050315.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011050315.h5,2011,5,3,15,train
negative,2011050415.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011050415.h5,2011,5,4,15,train
negative,2011050421.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011050421.h5,2011,5,4,21,train
negative,2011050615.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011050615.h5,2011,5,6,15,train
negative,2011050621.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011050621.h5,2011,5,6,21,train
negative,2011050715.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011050715.h5,2011,5,7,15,train
negative,2011050721.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011050721.h5,2011,5,7,21,train
negative,2011050821.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011050821.h5,2011,5,8,21,train
negative,2011050900.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011050900.h5,2011,5,9,0,train
negative,2011050903.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011050903.h5,2011,5,9,3,train
negative,2011051412.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011051412.h5,2011,5,14,12,train
negative,2011051506.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011051506.h5,2011,5,15,6,train
negative,2011051515.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011051515.h5,2011,5,15,15,train
negative,2011051518.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011051518.h5,2011,5,15,18,train
negative,2011051700.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011051700.h5,2011,5,17,0,train
negative,2011051721.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011051721.h5,2011,5,17,21,train
negative,2011051803.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011051803.h5,2011,5,18,3,train
negative,2011052003.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011052003.h5,2011,5,20,3,train
negative,2011052103.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011052103.h5,2011,5,21,3,train
negative,2011052203.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011052203.h5,2011,5,22,3,train
negative,2011052315.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011052315.h5,2011,5,23,15,train
negative,2011052421.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011052421.h5,2011,5,24,21,train
negative,2011052500.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011052500.h5,2011,5,25,0,train
negative,2011053003.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011053003.h5,2011,5,30,3,train
negative,2011053021.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011053021.h5,2011,5,30,21,train
negative,2011053103.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011053103.h5,2011,5,31,3,train
negative,2011060603.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011060603.h5,2011,6,6,3,train
negative,2011060621.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011060621.h5,2011,6,6,21,train
negative,2011060706.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011060706.h5,2011,6,7,6,train
negative,2011060721.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011060721.h5,2011,6,7,21,train
negative,2011060800.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011060800.h5,2011,6,8,0,train
negative,2011060900.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011060900.h5,2011,6,9,0,train
negative,2011061009.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011061009.h5,2011,6,10,9,train
negative,2011061015.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011061015.h5,2011,6,10,15,train
negative,2011061021.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011061021.h5,2011,6,10,21,train
negative,2011061200.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011061200.h5,2011,6,12,0,train
negative,2011061203.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011061203.h5,2011,6,12,3,train
negative,2011061409.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011061409.h5,2011,6,14,9,train
negative,2011061503.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011061503.h5,2011,6,15,3,train
negative,2011061509.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011061509.h5,2011,6,15,9,train
negative,2011061721.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011061721.h5,2011,6,17,21,train
negative,2011061906.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011061906.h5,2011,6,19,6,train
negative,2011061912.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011061912.h5,2011,6,19,12,train
negative,2011062006.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011062006.h5,2011,6,20,6,train
negative,2011062012.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011062012.h5,2011,6,20,12,train
negative,2011062506.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011062506.h5,2011,6,25,6,train
negative,2011062912.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011062912.h5,2011,6,29,12,train
negative,2011063018.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011063018.h5,2011,6,30,18,train
negative,2011070200.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011070200.h5,2011,7,2,0,train
negative,2011070218.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011070218.h5,2011,7,2,18,train
negative,2011070300.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011070300.h5,2011,7,3,0,train
negative,2011070306.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011070306.h5,2011,7,3,6,train
negative,2011070603.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011070603.h5,2011,7,6,3,train
negative,2011070609.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011070609.h5,2011,7,6,9,train
negative,2011070800.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011070800.h5,2011,7,8,0,train
negative,2011070806.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011070806.h5,2011,7,8,6,train
negative,2011070903.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011070903.h5,2011,7,9,3,train
negative,2011071015.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011071015.h5,2011,7,10,15,train
negative,2011071021.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011071021.h5,2011,7,10,21,train
negative,2011071312.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011071312.h5,2011,7,13,12,train
negative,2011071321.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011071321.h5,2011,7,13,21,train
negative,2011071515.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011071515.h5,2011,7,15,15,train
negative,2011071606.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011071606.h5,2011,7,16,6,train
negative,2011071809.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011071809.h5,2011,7,18,9,train
negative,2011072221.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011072221.h5,2011,7,22,21,train
negative,2011072318.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011072318.h5,2011,7,23,18,train
negative,2011072509.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011072509.h5,2011,7,25,9,train
negative,2011072606.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011072606.h5,2011,7,26,6,train
negative,2011072609.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011072609.h5,2011,7,26,9,train
negative,2011072615.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011072615.h5,2011,7,26,15,train
negative,2011072718.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011072718.h5,2011,7,27,18,train
negative,2011073109.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011073109.h5,2011,7,31,9,train
negative,2011080109.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011080109.h5,2011,8,1,9,train
negative,2011080115.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011080115.h5,2011,8,1,15,train
negative,2011080121.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011080121.h5,2011,8,1,21,train
negative,2011080200.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011080200.h5,2011,8,2,0,train
negative,2011080203.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011080203.h5,2011,8,2,3,train
negative,2011080206.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011080206.h5,2011,8,2,6,train
negative,2011080218.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011080218.h5,2011,8,2,18,train
negative,2011080612.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011080612.h5,2011,8,6,12,train
negative,2011080615.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011080615.h5,2011,8,6,15,train
negative,2011080718.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011080718.h5,2011,8,7,18,train
negative,2011080806.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011080806.h5,2011,8,8,6,train
negative,2011082515.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011082515.h5,2011,8,25,15,train
negative,2011082521.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011082521.h5,2011,8,25,21,train
negative,2011082706.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011082706.h5,2011,8,27,6,train
negative,2011082800.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011082800.h5,2011,8,28,0,train
negative,2011082806.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011082806.h5,2011,8,28,6,train
negative,2011082812.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011082812.h5,2011,8,28,12,train
negative,2011082815.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011082815.h5,2011,8,28,15,train
negative,2011082900.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011082900.h5,2011,8,29,0,train
negative,2011082903.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011082903.h5,2011,8,29,3,train
negative,2011082912.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011082912.h5,2011,8,29,12,train
negative,2011083003.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011083003.h5,2011,8,30,3,train
negative,2011083015.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011083015.h5,2011,8,30,15,train
negative,2011083021.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011083021.h5,2011,8,30,21,train
negative,2011083106.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011083106.h5,2011,8,31,6,train
negative,2011083115.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011083115.h5,2011,8,31,15,train
negative,2011083121.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011083121.h5,2011,8,31,21,train
negative,2011090100.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011090100.h5,2011,9,1,0,train
negative,2011090112.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011090112.h5,2011,9,1,12,train
negative,2011090115.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011090115.h5,2011,9,1,15,train
negative,2011090121.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011090121.h5,2011,9,1,21,train
negative,2011091115.h5,E:\NAS\Work\Ap\data\dataset_class\negative\2011091115.h5,2011,9,11,15,train
